"Configuration","Configuration"
"Login credentials","Login credentials"
"Username","Username"
"eMailChef username","eMailChef username"
"eMailChef password","eMailChef password"
"Test Login","Test Login"
"List","List"
"Which policy would you like to use?","Which policy would you like to use?"
"Save Config","Save Config"
"Custom fields for this list have been successfully created.","Custom fields for this list have been successfully created."
"An error occurred while defining custom fields for this newly created list:","An error occurred while defining custom fields for this newly created list:"
"Or","Or"
"create a new list","create a new list"
"Create new list","Create new list"
"List name","List name"
"List description","List description"
"Create list","Create list"
"Making a new list, please wait...","Making a new list, please wait..."
"Your list has been created. We're now adding the custom fields.","Your list has been created. We're now adding the custom fields."
"An error occurred while creating this list.","An error occurred while creating this list."
"provide a valid name for eMailChef list.","provide a valid name for eMailChef list."
"Provide a valid name for eMailChef list.","Provide a valid name for eMailChef list."
"An error occurred while creating this list:","An error occurred while creating this list:"
"We're defining custom fields for this newly created list...","We're defining custom fields for this newly created list..."
"Custom fields for this list have been successfully created.","Custom fields for this list have been successfully created."
"An error occurred while defining custom fields for this newly created list:","An error occurred while defining custom fields for this newly created list:"
"Test Login","Test Login"
"eMailChef account credentials are wrong.","eMailChef account credentials are wrong."
"Customers data sync was successfully sent.","Customers data sync was successfully sent."
"Provided list is not valid.","Provided list is not valid."
"User logged successfully.","User logged successfully."
"List has been created.","List has been created."
"Provide valid account credentials.","Provide valid account credentials."
"Please fill the username.","Please fill the username."
"Email is not in the right format.","Email is not in the right format."
"Name","Name"
"Surname","Surname"
"Email address","Email address"
"Source","Source"
"Gender","Gender"
"Language","Language"
"Date of birth","Date of birth"
"Company","Company"
"Address","Address"
"ZIP code","ZIP code"
"City","City"
"State","State"
"Country","Country"
"Phone","Phone"
"Fax","Fax"
"Agreed to newsletter","Agreed to newsletter"
"Currency","Currency"
"Customer ID","Customer ID"
"Customer type","Customer type"
"Subtotal","Subtotal"
"Total ordered in the last 30 days","Total ordered in the last 30 days"
"Total ordered in the last 12 months","Total ordered in the last 12 months"
"Orders","Orders"
"Ordered Product ID","Ordered Product ID"
"Last order - ID","Last order - ID"
"Last order - Date","Last order - Date"
"Last order - Total","Last order - Total"
"Last order - Status","Last order - Status"
"Last order - Product ID","Last order - Product ID"
"Last shipped order - ID","Last shipped order - ID"
"Last shipped order - Data","Last shipped order - Data"
"Last shipped order - Status","Last shipped order - Status"
"Abandoned cart - Yes/No","Abandoned cart - Yes/No"
"Abandoned cart - Most expensive product name","Abandoned cart - Most expensive product name"
"Abandoned cart - Most expensive product description","Abandoned cart - Most expensive product description"
"Abandoned cart - Most expensive pricing product","Abandoned cart - Most expensive pricing product"
"Abandoned cart - Most expensive product URL","Abandoned cart - Most expensive product URL"
"Abandoned cart - Most expensive product image URL","Abandoned cart - Most expensive product image URL"
"Abandoned cart - Most expensive product ID","Abandoned cart - Most expensive product ID"
"Abandoned cart - Date","Abandoned cart - Date"
"We're modifying custom fields for the chosen list...","We're modifying custom fields for the chosen list..."
"Custom fields for this list have been successfully modified.","Custom fields for this list have been successfully modified."
"An error occurred while modifying custom fields for the chosen list:","An error occurred while modifying custom fields for the chosen list:"
"Verifying your login data...","Verifying your login data..."
"You have successfully logged into eMailChef.","You have successfully logged into eMailChef."
"Incorrect login credentials:","Incorrect login credentials:"
"By creating a new list, you confirm its compliance with the privacy policy and the CAN-SPAM Act.","By creating a new list, you confirm its compliance with the privacy policy and the CAN-SPAM Act."
"Website name", "Website name",
"Store name", "Store name"
